Employee_ID,Work_Arrangement,Department,Job_Level,Years_Experience,Company_Size,Region,Meeting_Hours_Weekly,Commute_Minutes_Daily,Focus_Hours_Daily,Communication_Tool,Project_Tool,Focus_Score,Collaboration_Score,Innovation_Score,Work_Life_Balance_Score,Burnout_Risk_Percent,Satisfaction_Score,Tasks_Completed_Weekly,Response_Time_Hours,Survey_Date
51c6cff4,Remote,Customer Support,Director,11,Enterprise (5000+),Asia-Pacific,5.6,0,8.0,Google Meet,Notion,8.0,3.7,5.3,8.5,34,8.5,19,5.3,2025-08-19
49360935,Office,Operations,Senior,7,Enterprise (5000+),Americas,7.1,26,6.3,Zoom,Monday.com,5.1,9.2,9.4,5.8,28,7.1,20,2.9,2025-09-12
cbd2fedb,Remote,Marketing,Junior,1,Medium (200-1000),Americas,6.4,0,7.8,Microsoft Teams,Monday.com,8.8,5.5,8.0,9.3,26,8.3,52,4.8,2025-09-15
60dd4d89,Remote,Sales,Senior,4,Medium (200-1000),Asia-Pacific,3.8,0,8.0,Discord,Jira,8.5,6.4,4.2,4.5,42,5.8,34,5.7,2025-11-07
4dead133,Office,Design,Senior,7,Startup (<50),Asia-Pacific,6.3,36,6.2,Google Meet,Monday.com,7.2,7.4,8.6,5.1,28,7.4,19,1.7,2025-11-25
4bd7fe8e,Remote,Design,Junior,1,Enterprise (5000+),Asia-Pacific,6.2,0,8.0,Google Meet,Jira,7.4,7.5,6.1,6.7,25,5.2,32,4.6,2025-08-06
6c31610d,Hybrid,Product,VP,24,Startup (<50),Europe,4.3,41,6.2,Discord,Asana,6.6,6.7,5.7,6.5,26,7.2,29,4.4,2025-11-17
f0c688b1,Office,Sales,Senior,8,Medium (200-1000),Middle East/Africa,7.3,55,6.2,Microsoft Teams,Notion,8.8,8.6,8.0,7.1,10,7.7,33,3.3,2025-09-08
5eb88712,Hybrid,Sales,Mid,3,Small (50-200),Americas,7.3,29,7.1,Slack,Linear,7.2,7.4,6.6,7.8,22,7.1,41,2.9,2025-12-18
cc1ddeef,Hybrid,Sales,Senior,8,Enterprise (5000+),Middle East/Africa,8.0,30,6.0,Microsoft Teams,Asana,5.9,9.0,8.9,8.0,11,8.5,24,4.9,2025-12-05
3263c988,Hybrid,Design,Junior,1,Enterprise (5000+),Americas,5.2,33,6.2,Discord,Trello,6.2,10.0,7.7,6.7,26,5.4,32,4.1,2025-12-15
d41088f7,Remote,HR,Senior,4,Small (50-200),Asia-Pacific,7.9,0,7.5,Microsoft Teams,Monday.com,7.7,7.6,5.6,10.0,15,8.8,38,4.6,2025-11-14
2aba4761,Remote,Operations,Manager,5,Small (50-200),Americas,4.9,0,7.3,Slack,Jira,5.5,4.3,6.7,7.7,23,7.4,26,4.0,2025-10-21
322e44cd,Hybrid,Finance,Manager,9,Large (1000-5000),Asia-Pacific,8.0,42,6.0,Microsoft Teams,Jira,5.6,6.2,7.2,8.0,15,7.2,30,4.7,2025-09-12
232e58e8,Remote,Finance,Director,14,Small (50-200),Europe,2.0,0,8.0,Discord,Linear,5.8,7.5,8.2,7.6,30,5.1,20,4.7,2025-10-27
c2c168f6,Office,Engineering,Lead,8,Medium (200-1000),Europe,14.7,88,4.7,Slack,Monday.com,4.0,5.8,7.2,4.7,49,6.6,12,3.0,2025-11-23
3e000237,Office,HR,Junior,1,Large (1000-5000),Middle East/Africa,13.4,22,4.0,Google Meet,Jira,3.9,8.4,5.4,6.2,26,5.2,30,2.7,2025-09-24
a9835364,Remote,Engineering,Manager,5,Medium (200-1000),Europe,2.2,0,8.0,Zoom,Linear,6.9,1.6,8.7,10.0,1,7.3,27,4.7,2026-01-05
968197b8,Office,HR,Mid,2,Small (50-200),Asia-Pacific,13.3,89,4.9,Zoom,Trello,5.3,8.9,4.9,5.7,32,8.1,29,4.2,2026-01-16
bb0ed10b,Remote,Marketing,Junior,0,Medium (200-1000),Americas,4.5,0,8.0,Microsoft Teams,Linear,7.0,5.4,3.4,5.6,41,5.7,23,5.8,2025-08-02
3c2f4c31,Hybrid,Sales,Mid,2,Small (50-200),Americas,11.0,23,6.0,Microsoft Teams,Monday.com,6.4,9.2,7.9,9.4,12,7.6,31,4.3,2025-12-26
2c83cf4e,Remote,Marketing,Director,15,Medium (200-1000),Americas,7.8,0,7.6,Zoom,Jira,6.6,4.1,6.0,9.7,14,7.3,27,6.0,2026-01-04
0d2cb9d1,Hybrid,Design,Mid,2,Small (50-200),Europe,4.0,18,6.7,Slack,Jira,6.7,5.7,4.7,8.5,8,6.7,34,5.1,2025-09-01
b1107a14,Remote,Operations,Senior,5,Small (50-200),Middle East/Africa,2.3,0,8.0,Discord,Asana,8.8,5.2,6.7,8.2,31,8.6,25,2.8,2025-12-14
e1443457,Remote,Product,Senior,7,Large (1000-5000),Americas,7.1,0,8.0,Google Meet,Monday.com,6.7,5.5,5.9,6.5,53,8.9,33,4.1,2025-10-22
29a771ba,Remote,Sales,Senior,5,Medium (200-1000),Americas,2.5,0,8.0,Zoom,Trello,6.9,4.1,8.8,10.0,25,9.0,35,5.0,2025-10-06
0d2e18f1,Remote,Engineering,Senior,5,Medium (200-1000),Middle East/Africa,2.0,0,8.0,Discord,Linear,8.5,5.6,6.4,7.7,15,7.4,28,3.7,2025-09-23
a9fef070,Remote,Marketing,Manager,5,Medium (200-1000),Americas,7.2,0,7.6,Zoom,Asana,8.5,6.1,8.2,9.6,15,7.1,30,5.2,2025-08-31
f6a0ebd2,Remote,Sales,Lead,9,Medium (200-1000),Americas,7.3,0,8.0,Discord,Jira,6.0,5.3,8.5,6.3,12,5.1,26,5.0,2025-09-11
7e16697d,Hybrid,Engineering,Lead,10,Medium (200-1000),Americas,11.2,40,5.3,Zoom,Linear,10.0,10.0,6.8,10.0,13,10.0,35,3.6,2025-12-27
dceafbbd,Remote,Engineering,Senior,7,Medium (200-1000),Europe,7.6,0,8.0,Microsoft Teams,Trello,8.9,5.2,6.8,8.6,2,8.6,28,3.6,2025-10-05
37033a58,Office,Customer Support,Mid,2,Small (50-200),Europe,10.2,38,5.6,Google Meet,Jira,6.6,8.1,4.7,2.6,52,4.8,34,2.5,2025-08-20
7d65358b,Office,Sales,VP,29,Enterprise (5000+),Americas,7.2,41,5.8,Discord,Jira,3.1,7.3,7.0,4.9,30,6.1,24,2.3,2025-08-19
299694d9,Hybrid,HR,Mid,3,Large (1000-5000),Asia-Pacific,5.7,43,7.9,Microsoft Teams,Asana,5.1,7.6,5.4,6.4,27,7.4,27,5.0,2025-10-13
fba96bfe,Office,Operations,Manager,8,Medium (200-1000),Americas,8.2,31,5.4,Slack,Notion,5.1,7.8,10.0,5.2,32,6.4,24,3.0,2025-08-19
ca86b0b8,Office,Engineering,Director,11,Medium (200-1000),Americas,8.3,22,6.3,Discord,Jira,7.8,8.4,9.6,5.9,21,7.2,16,3.4,2025-10-09
195bf039,Hybrid,Operations,Senior,4,Enterprise (5000+),Americas,4.4,25,6.9,Zoom,Linear,7.5,8.1,9.7,7.7,6,7.8,29,2.6,2026-01-12
55227987,Remote,Finance,Senior,4,Small (50-200),Europe,4.4,0,8.0,Slack,Trello,9.7,4.9,4.2,8.7,26,6.4,36,5.7,2025-10-06
0b6c28c5,Office,HR,Junior,0,Enterprise (5000+),Asia-Pacific,14.9,57,4.3,Slack,Asana,7.7,10.0,9.5,5.3,41,6.9,38,2.6,2025-11-26
6154f65b,Hybrid,Product,Mid,3,Medium (200-1000),Americas,4.7,35,6.9,Zoom,Monday.com,7.6,5.6,9.2,6.7,4,6.0,32,4.1,2025-09-21
8244a1ea,Remote,Customer Support,Junior,0,Large (1000-5000),Middle East/Africa,3.2,0,7.8,Zoom,Notion,4.2,5.6,6.0,9.6,29,8.0,25,5.5,2026-01-04
77bcd632,Hybrid,HR,Senior,6,Enterprise (5000+),Asia-Pacific,6.6,31,7.0,Google Meet,Trello,6.4,6.2,6.5,8.3,3,8.6,21,3.8,2025-08-09
16844aa8,Office,Customer Support,Senior,6,Small (50-200),Europe,8.6,38,6.0,Microsoft Teams,Trello,8.2,7.3,9.5,4.5,31,5.2,33,4.4,2025-12-20
7b9119c4,Remote,HR,Junior,0,Enterprise (5000+),Americas,2.9,0,8.0,Zoom,Notion,9.7,5.9,5.8,8.6,22,7.6,41,3.6,2025-10-29
b901eaf0,Office,Operations,Mid,3,Medium (200-1000),Europe,12.2,65,4.7,Slack,Notion,5.4,10.0,8.2,7.0,42,7.9,34,3.1,2025-11-13
f2f5effb,Hybrid,HR,Lead,10,Large (1000-5000),Europe,6.6,37,6.5,Microsoft Teams,Asana,7.1,7.7,7.4,9.2,5,8.8,24,4.5,2025-08-25
aa00592b,Remote,Sales,Mid,4,Startup (<50),Europe,6.9,0,8.0,Slack,Notion,5.9,5.6,5.0,10.0,12,9.3,32,5.0,2026-01-27
7c3effc0,Hybrid,Sales,Senior,6,Small (50-200),Americas,10.0,18,6.2,Zoom,Trello,8.7,9.5,7.6,8.9,23,7.8,36,3.6,2025-10-13
e82253c4,Office,Product,VP,28,Small (50-200),Americas,11.9,40,4.4,Slack,Linear,4.7,10.0,10.0,4.9,36,5.3,13,2.4,2025-08-16
ec9934a7,Hybrid,Design,Manager,10,Small (50-200),Americas,8.2,24,6.8,Zoom,Linear,8.4,7.5,5.2,7.0,23,8.2,31,5.5,2025-11-16
139e4a42,Hybrid,HR,Director,10,Small (50-200),Europe,5.6,35,7.6,Google Meet,Jira,5.5,6.8,7.9,7.3,11,7.1,21,3.1,2025-09-26
2b31c173,Hybrid,Marketing,Senior,5,Enterprise (5000+),Middle East/Africa,4.8,18,6.1,Microsoft Teams,Trello,5.7,9.5,7.2,9.4,11,9.4,21,4.5,2026-01-09
4af3d19f,Remote,Customer Support,Director,15,Large (1000-5000),Americas,7.9,0,8.0,Google Meet,Trello,6.8,5.5,7.2,8.9,35,9.3,23,6.7,2025-12-01
a4f2d140,Hybrid,Marketing,Senior,9,Enterprise (5000+),Americas,6.6,28,7.4,Discord,Trello,8.0,6.4,6.4,8.7,11,10.0,28,5.0,2025-11-29
76e74dca,Hybrid,Sales,Mid,3,Large (1000-5000),Americas,10.6,42,6.2,Slack,Monday.com,9.0,10.0,6.4,8.1,18,7.5,39,5.1,2026-01-19
f0849097,Hybrid,Engineering,Lead,11,Medium (200-1000),Europe,4.0,38,6.5,Slack,Notion,10.0,8.4,7.6,6.8,16,5.4,39,4.8,2026-01-15
e289d4e8,Office,Finance,Manager,6,Medium (200-1000),Asia-Pacific,9.4,27,5.9,Discord,Trello,5.6,4.3,6.3,7.3,0,7.1,19,3.8,2025-10-10
247bcfff,Office,Engineering,Mid,4,Startup (<50),Europe,10.2,68,5.1,Microsoft Teams,Linear,6.0,5.4,7.8,7.0,33,5.2,32,3.2,2025-11-21
470cc46a,Remote,HR,Junior,1,Medium (200-1000),Asia-Pacific,7.8,0,8.0,Google Meet,Notion,7.2,4.3,6.6,8.7,16,6.4,48,5.3,2025-09-07
f65cc0c3,Hybrid,Sales,Manager,5,Enterprise (5000+),Asia-Pacific,4.9,16,8.0,Microsoft Teams,Notion,6.6,7.2,6.7,7.1,15,8.6,19,4.9,2025-12-15
bc8f54cb,Remote,Product,Mid,4,Startup (<50),Asia-Pacific,6.2,0,8.0,Zoom,Notion,5.1,5.5,6.5,8.8,22,7.8,37,6.2,2025-08-14
d2e55cb7,Hybrid,Sales,Mid,3,Small (50-200),Americas,4.6,38,6.6,Discord,Asana,8.9,7.2,7.7,4.7,50,6.8,40,4.6,2025-08-09
9034701c,Office,Operations,Mid,2,Small (50-200),Americas,7.8,59,6.1,Microsoft Teams,Linear,5.5,8.8,6.9,8.8,0,8.8,38,2.1,2025-12-07
3390e7b6,Remote,Marketing,Director,13,Large (1000-5000),Europe,3.1,0,8.0,Discord,Asana,9.2,6.9,7.3,9.1,16,7.2,29,3.4,2025-09-14
d6b045bd,Hybrid,HR,Senior,6,Enterprise (5000+),Europe,7.8,27,6.6,Zoom,Linear,9.7,7.3,7.7,10.0,15,8.9,32,3.7,2025-12-29
03dcbd9d,Office,HR,Lead,8,Medium (200-1000),Asia-Pacific,11.7,44,5.3,Zoom,Monday.com,4.9,6.7,8.5,7.0,30,6.0,16,1.1,2025-09-26
23f1c68d,Hybrid,HR,Junior,0,Medium (200-1000),Asia-Pacific,11.2,23,6.8,Slack,Notion,6.4,10.0,7.7,8.3,24,8.0,38,2.7,2025-08-16
2af1473e,Hybrid,Finance,Junior,0,Small (50-200),Americas,8.4,36,6.1,Discord,Trello,7.5,5.8,8.1,5.7,20,6.0,44,4.3,2026-01-14
69d00118,Hybrid,Sales,Mid,2,Large (1000-5000),Americas,6.2,18,7.0,Zoom,Asana,3.7,5.5,7.3,6.4,35,6.6,16,2.7,2025-09-15
c8074249,Hybrid,Marketing,Manager,12,Medium (200-1000),Americas,4.1,29,7.5,Google Meet,Trello,8.0,9.0,5.6,10.0,0,9.8,22,3.1,2026-01-16
a2a9592b,Office,Marketing,Manager,8,Medium (200-1000),Americas,11.5,85,4.3,Google Meet,Linear,6.8,8.6,5.4,4.4,37,5.9,21,1.9,2025-08-20
91c7f15b,Remote,HR,Lead,7,Enterprise (5000+),Americas,6.1,0,7.8,Slack,Notion,6.3,5.7,7.4,5.6,37,6.5,28,5.0,2025-10-13
e44e309b,Office,Design,Mid,2,Medium (200-1000),Middle East/Africa,6.3,34,6.2,Zoom,Monday.com,4.4,7.8,5.1,2.0,54,3.8,26,1.6,2025-09-23
54c727bb,Office,Sales,Senior,9,Medium (200-1000),Europe,14.3,37,4.1,Zoom,Jira,7.4,10.0,5.7,5.0,53,7.0,30,2.3,2025-10-28
698b8c48,Office,HR,Mid,2,Small (50-200),Americas,14.5,48,6.1,Discord,Notion,6.0,6.9,8.4,5.6,44,7.4,33,3.6,2025-12-02
350b3478,Office,Engineering,Junior,1,Small (50-200),Europe,12.8,28,5.1,Microsoft Teams,Jira,3.4,9.2,7.5,5.2,24,6.6,12,3.1,2026-01-09
7c7f0299,Remote,Operations,Senior,7,Medium (200-1000),Americas,6.7,0,8.0,Zoom,Monday.com,7.4,5.1,3.9,8.6,4,8.7,30,7.4,2025-10-10
93c2ef07,Hybrid,Marketing,Senior,9,Startup (<50),Europe,11.0,23,5.4,Zoom,Linear,5.1,7.7,8.0,7.2,13,8.7,26,2.8,2025-09-01
1fff5eca,Remote,Marketing,Mid,4,Medium (200-1000),Europe,2.3,0,8.0,Zoom,Jira,7.3,6.8,5.2,5.6,22,5.7,30,5.4,2025-10-11
b8461e7f,Office,Finance,Mid,2,Enterprise (5000+),Asia-Pacific,11.7,72,5.3,Microsoft Teams,Jira,4.8,8.4,9.0,5.3,32,3.8,32,2.4,2025-10-08
8718b981,Office,Sales,Manager,14,Small (50-200),Americas,7.9,26,5.2,Microsoft Teams,Jira,8.6,10.0,7.9,4.1,29,6.2,32,2.9,2025-09-10
11770962,Hybrid,Marketing,Lead,8,Small (50-200),Europe,5.4,38,7.0,Discord,Trello,9.7,8.3,5.3,8.5,4,7.6,36,3.5,2025-12-09
e390fcc4,Remote,Product,Senior,9,Small (50-200),Europe,3.7,0,8.0,Discord,Linear,6.5,5.6,4.5,6.8,24,6.2,22,4.9,2025-09-21
d1141743,Remote,Operations,Mid,4,Small (50-200),Asia-Pacific,5.3,0,7.8,Microsoft Teams,Linear,9.2,5.9,4.0,8.3,12,8.8,46,5.1,2025-12-15
77bc2a74,Hybrid,Sales,Director,14,Medium (200-1000),Middle East/Africa,7.6,20,7.0,Slack,Jira,7.2,8.4,6.8,4.7,28,6.4,28,3.4,2026-01-29
f5535db0,Remote,Marketing,Mid,3,Medium (200-1000),Asia-Pacific,3.4,0,8.0,Zoom,Jira,8.9,2.6,3.0,8.4,22,7.5,39,5.7,2025-12-11
326d8d43,Office,HR,Senior,7,Enterprise (5000+),Middle East/Africa,7.8,56,5.5,Microsoft Teams,Asana,7.3,10.0,6.5,5.2,36,6.6,23,3.4,2025-12-04
51df9ee4,Hybrid,Product,Senior,6,Large (1000-5000),Americas,6.6,18,7.1,Discord,Linear,5.5,4.4,7.3,5.8,22,7.8,22,4.2,2025-08-14
8b6cda82,Remote,Finance,Junior,0,Medium (200-1000),Americas,7.1,0,7.4,Microsoft Teams,Trello,5.9,7.6,7.5,8.4,24,7.2,36,4.6,2025-11-27
c4ae0eee,Remote,Operations,Senior,8,Medium (200-1000),Middle East/Africa,5.0,0,8.0,Microsoft Teams,Monday.com,5.6,6.6,8.4,7.3,29,5.4,26,3.9,2025-12-02
02ee82ce,Office,Marketing,Lead,10,Startup (<50),Europe,11.4,37,5.1,Google Meet,Asana,3.7,8.7,7.1,3.9,40,7.1,23,2.4,2025-09-03
161daa8a,Office,Sales,Junior,1,Enterprise (5000+),Middle East/Africa,14.7,58,4.8,Google Meet,Jira,7.0,3.9,6.6,7.0,26,5.3,30,3.5,2025-11-12
fb8a4f0f,Office,Finance,Senior,7,Small (50-200),Middle East/Africa,12.6,45,5.3,Microsoft Teams,Asana,5.4,6.7,9.7,3.5,63,5.9,19,1.8,2025-12-20
5f9a6f8d,Hybrid,Sales,Mid,4,Enterprise (5000+),Americas,4.7,35,6.6,Google Meet,Asana,9.7,8.1,7.4,4.8,24,6.4,38,4.9,2025-09-17
00ea373a,Office,Engineering,Senior,4,Enterprise (5000+),Europe,7.3,30,5.7,Slack,Jira,6.9,7.6,7.2,6.7,19,6.9,28,4.7,2025-09-01
5ea6f7b5,Hybrid,Design,Junior,0,Small (50-200),Europe,7.2,39,6.6,Zoom,Notion,5.8,7.1,7.3,6.3,15,5.5,34,4.5,2025-10-29
f064c20d,Remote,Sales,Senior,8,Small (50-200),Asia-Pacific,5.8,0,8.0,Zoom,Jira,6.7,6.7,6.7,5.9,46,6.8,22,6.2,2025-10-13
a27fe4ec,Remote,Engineering,VP,22,Startup (<50),Americas,7.7,0,8.0,Discord,Jira,9.4,5.9,6.3,6.8,32,7.2,27,3.5,2025-09-22
3c769a4f,Remote,Engineering,Manager,8,Medium (200-1000),Middle East/Africa,3.1,0,8.0,Discord,Trello,9.6,4.5,7.8,6.5,35,8.0,38,6.9,2026-01-27
d993aa39,Hybrid,Customer Support,Manager,10,Small (50-200),Middle East/Africa,6.7,16,6.0,Microsoft Teams,Linear,10.0,8.0,8.2,6.8,3,6.9,34,2.6,2025-12-03
9d55532e,Remote,Product,Mid,3,Medium (200-1000),Americas,5.7,0,8.0,Zoom,Asana,7.0,3.4,3.0,7.6,27,5.8,35,5.1,2025-12-12
e4a821de,Remote,Marketing,Junior,0,Small (50-200),Asia-Pacific,7.9,0,7.9,Microsoft Teams,Monday.com,6.6,6.2,6.3,8.9,21,8.4,35,5.8,2025-11-17
fcb74ff5,Remote,Sales,Director,10,Enterprise (5000+),Asia-Pacific,2.6,0,8.0,Zoom,Monday.com,6.9,8.1,4.7,6.8,33,7.6,31,5.9,2025-09-12
2003d6cf,Remote,Operations,Mid,4,Small (50-200),Asia-Pacific,4.6,0,8.0,Microsoft Teams,Jira,7.6,5.5,6.3,10.0,3,8.9,43,5.1,2025-12-11
69b5a422,Office,Marketing,Lead,11,Large (1000-5000),Americas,10.7,31,5.5,Microsoft Teams,Linear,5.9,7.5,10.0,6.1,27,6.2,21,3.4,2025-10-02
633154cb,Remote,Sales,Mid,3,Startup (<50),Middle East/Africa,7.4,0,8.0,Discord,Jira,8.2,4.9,5.2,6.6,45,7.3,42,6.2,2026-01-11
7a0d4596,Remote,Customer Support,Director,19,Small (50-200),Americas,4.7,0,7.9,Discord,Notion,8.1,6.2,7.1,8.9,16,10.0,32,3.1,2025-12-28
5d3055a1,Office,Finance,Manager,6,Small (50-200),Americas,10.8,40,4.9,Zoom,Trello,6.1,8.3,5.0,5.2,38,6.4,22,2.0,2025-12-29
2e8e42f0,Office,Marketing,Mid,3,Enterprise (5000+),Europe,14.2,75,5.0,Zoom,Trello,6.7,9.5,9.4,8.2,15,7.3,35,2.4,2025-08-11
2aaf1a7a,Hybrid,Finance,Senior,7,Large (1000-5000),Asia-Pacific,11.0,16,5.9,Google Meet,Monday.com,10.0,7.9,8.0,5.9,22,8.7,33,2.5,2025-09-14
9a1ac266,Office,Product,Lead,7,Small (50-200),Middle East/Africa,12.4,62,5.5,Zoom,Asana,5.1,5.6,6.7,5.4,49,5.6,23,3.2,2026-01-07
da09b9fd,Hybrid,Finance,Mid,3,Medium (200-1000),Europe,11.2,44,5.4,Discord,Trello,6.7,8.2,8.2,8.4,20,5.8,32,3.9,2025-08-07
93135654,Remote,Marketing,Mid,2,Small (50-200),Middle East/Africa,3.3,0,8.0,Discord,Trello,9.4,5.5,7.7,8.4,27,7.7,46,7.3,2026-01-04
5b9a4bab,Hybrid,Customer Support,Mid,2,Large (1000-5000),Americas,9.8,16,7.3,Slack,Monday.com,6.2,7.0,6.3,6.2,0,6.3,35,3.5,2025-10-01
33a52709,Hybrid,Finance,Senior,9,Small (50-200),Asia-Pacific,4.4,29,7.1,Slack,Linear,8.0,7.1,7.9,10.0,0,9.6,37,5.1,2025-10-17
a3cbee9c,Remote,Finance,Junior,1,Medium (200-1000),Americas,6.2,0,7.5,Microsoft Teams,Trello,7.4,4.8,6.1,10.0,12,9.9,41,6.5,2025-09-21
693cfb34,Office,Product,Mid,2,Medium (200-1000),Middle East/Africa,8.3,33,6.6,Microsoft Teams,Linear,6.5,8.9,7.4,5.8,14,4.1,35,3.3,2025-08-13
e9263da6,Remote,Sales,Senior,9,Medium (200-1000),Europe,4.9,0,8.0,Google Meet,Notion,6.4,7.2,4.6,7.6,25,9.1,25,2.6,2025-09-10
8fec69a0,Remote,Sales,Senior,7,Large (1000-5000),Asia-Pacific,6.3,0,8.0,Google Meet,Monday.com,6.8,3.6,7.3,9.7,16,6.4,31,3.3,2026-01-25
2ccb88f2,Hybrid,Marketing,Senior,4,Medium (200-1000),Europe,8.7,34,6.8,Discord,Asana,6.5,6.2,4.8,7.9,11,5.6,24,3.1,2026-01-31
2cef5cc7,Hybrid,Customer Support,Mid,4,Large (1000-5000),Europe,8.7,25,6.6,Google Meet,Notion,4.2,7.1,9.3,6.8,21,8.2,38,3.4,2025-11-19
37c04982,Hybrid,Operations,Junior,0,Large (1000-5000),Americas,10.2,39,5.5,Microsoft Teams,Asana,8.5,7.3,7.1,8.4,13,8.4,44,6.1,2026-01-18
b12a44cc,Remote,Marketing,Senior,9,Large (1000-5000),Americas,2.3,0,8.0,Slack,Linear,8.1,7.0,5.4,5.2,19,5.3,24,4.8,2025-12-18
d8b6296f,Remote,Operations,Mid,2,Medium (200-1000),Americas,5.8,0,8.0,Discord,Notion,8.4,4.1,6.1,5.0,42,6.7,38,6.8,2025-10-01
b1a5430f,Hybrid,Operations,Lead,8,Startup (<50),Europe,8.1,28,7.1,Google Meet,Asana,7.8,7.5,8.5,6.4,30,6.6,36,6.2,2025-09-11
7991ff02,Hybrid,HR,Mid,4,Startup (<50),Americas,7.7,15,7.1,Google Meet,Linear,9.3,8.0,8.4,7.0,13,8.8,43,4.8,2025-12-06
fc07d773,Remote,HR,Senior,8,Large (1000-5000),Europe,5.7,0,8.0,Google Meet,Jira,8.8,5.2,3.6,10.0,17,8.8,31,6.1,2025-11-05
41cb904a,Remote,Product,Mid,4,Enterprise (5000+),Europe,2.7,0,8.0,Discord,Trello,8.4,6.4,6.7,8.6,18,8.2,40,4.5,2025-10-16
6fbed4ae,Remote,Engineering,Senior,5,Large (1000-5000),Americas,7.3,0,7.0,Microsoft Teams,Monday.com,7.9,2.1,7.6,10.0,29,8.9,31,6.3,2026-01-19
b7e7acdd,Remote,Customer Support,Senior,6,Medium (200-1000),Americas,3.7,0,8.0,Google Meet,Linear,8.3,5.4,6.9,6.8,21,8.5,38,4.0,2026-01-25
2371e3f2,Hybrid,Sales,Lead,9,Enterprise (5000+),Americas,11.1,36,5.9,Slack,Linear,6.0,10.0,8.0,8.6,6,7.4,32,3.8,2025-12-03
9986d87b,Hybrid,Sales,Mid,4,Small (50-200),Americas,6.0,29,6.3,Slack,Trello,7.9,6.0,4.5,8.7,5,7.4,29,3.3,2025-10-29
